leverage,protection,moneyness,rebalance,vrp_mode,window_years,start,end,terminal_wealth,cagr,max_drawdown,ruined,log_terminal
3.0,put25,0.25,monthly,fair,10,2006-08-07,2016-08-08,3.073233604936809,0.11876672563785307,0.9521308429329991,False,1.1227302987871721
3.0,put25,0.25,monthly,fair,10,2006-09-05,2016-09-06,3.6275788189753313,0.13746675676882258,0.9520889271811361,False,1.2885654337208088
3.0,put25,0.25,monthly,fair,10,2006-10-05,2016-10-05,4.78449310125787,0.16943015421248586,0.9095906298264302,False,1.565380084342081
3.0,put25,0.25,monthly,fair,10,2006-11-06,2016-11-07,7.495463141947866,0.22304922289559403,0.9517507081894527,False,2.0142979231007763
3.0,put25,0.25,monthly,fair,10,2006-12-05,2016-12-05,8.246672076197992,0.23485319881468358,0.952264442329708,False,2.1098097342618205
3.0,put25,0.25,monthly,fair,10,2007-01-05,2017-01-05,6.883277102441931,0.21274099385943845,0.9520233591646015,False,1.929094861568799
3.0,put25,0.25,monthly,fair,10,2007-02-05,2017-02-06,6.908913902037343,0.2131277005819403,0.9537751186715594,False,1.9328124477178135
3.0,put25,0.25,monthly,fair,10,2007-03-05,2017-03-06,24.98177758320287,0.379446812664868,0.952941450298804,False,3.2181466624219803
3.0,put25,0.25,monthly,fair,10,2007-04-05,2017-04-05,11.643912988981135,0.27818966903506204,0.952284236495347,False,2.4547835532499205
3.0,put25,0.25,monthly,fair,10,2007-05-07,2017-05-08,7.251355680325751,0.2190081235694319,0.9518497725064429,False,1.9811884417758183
3.0,put25,0.25,monthly,fair,10,2007-06-05,2017-06-05,6.2760511792547335,0.2015939400573743,0.9518505084961332,False,1.8367409895945046
3.0,put25,0.25,monthly,fair,10,2007-07-05,2017-07-05,4.597860204133236,0.16478698042840767,0.9533265055855565,False,1.5255910222540048
3.0,put25,0.25,monthly,fair,10,2007-08-06,2017-08-07,3.2666777647868,0.12561410121067196,0.9519794451460215,False,1.1837734943863598
3.0,put25,0.25,monthly,fair,10,2007-09-05,2017-09-05,3.9718383085714795,0.1478653794364293,0.9516465985309253,False,1.3792290375425278
3.0,put25,0.25,monthly,fair,10,2007-10-05,2017-10-05,5.580189688915317,0.1875575814209327,0.9095906298264301,False,1.7192227702446903
3.0,put25,0.25,monthly,fair,10,2007-11-05,2017-11-06,8.893261589841398,0.24413396600935622,0.9462273452974219,False,2.185293865237486
3.0,put25,0.25,monthly,fair,10,2007-12-05,2017-12-05,12.885621141268956,0.291205422970247,0.9462420170093354,False,2.5561120494825125
3.0,put25,0.25,monthly,fair,10,2008-01-07,2018-01-08,13.697029615325315,0.29902042569230214,0.9357318734604076,False,2.6171789929263936
3.0,put25,0.25,monthly,fair,10,2008-02-05,2018-02-05,14.098920623769471,0.3028753192886824,0.9357318734604076,False,2.646098242948195
3.0,put25,0.25,monthly,fair,10,2008-03-05,2018-03-05,43.966652930840624,0.4599394252562261,0.9357318734604076,False,3.783431458640568
3.0,put25,0.25,monthly,fair,10,2008-04-07,2018-04-09,21.491126241170516,0.35884908753007627,0.9357318734604076,False,3.067640116967109
3.0,put25,0.25,monthly,fair,10,2008-05-05,2018-05-07,15.558738185104744,0.31567464614897633,0.9358860588685399,False,2.7446224219597237
3.0,put25,0.25,monthly,fair,10,2008-06-05,2018-06-05,11.90944220883742,0.28116147944694037,0.9341303301566438,False,2.4773315484197074
3.0,put25,0.25,monthly,fair,10,2008-07-07,2018-07-09,14.662728117194378,0.3078971818828662,0.91433136667283,False,2.685308771723491
3.0,put25,0.25,monthly,fair,10,2008-08-05,2018-08-06,10.17237055399783,0.2610387389081279,0.9144894245830257,False,2.31967527572037
3.0,put25,0.25,monthly,fair,10,2008-09-05,2018-09-05,11.320844950777813,0.27468334989972654,0.9051856706695939,False,2.4266457122842993
3.0,put25,0.25,monthly,fair,10,2008-10-06,2018-10-08,16.455997465650157,0.3230689881091313,0.8209578703315674,False,2.800689998342997
3.0,put25,0.25,monthly,fair,10,2008-11-05,2018-11-05,17.91863527152356,0.3345893415630734,0.7586791757713015,False,2.885841247923698
3.0,put25,0.25,monthly,fair,10,2008-12-05,2018-12-06,20.294434375157053,0.3512005103529521,0.7083535194202082,False,3.010346679745154
3.0,put25,0.25,monthly,fair,10,2009-01-05,2019-01-07,17.57377545064729,0.3317889416329469,0.7037349636196462,False,2.866407759630423
3.0,put25,0.25,monthly,fair,10,2009-02-05,2019-02-05,21.869296179198905,0.36145040194710654,0.6247380998966944,False,3.0850836521497405
