date,total_return_index,close,vix,rf_annual,div_yield
1964-02-03,,76.970001,,0.035000,0.029892
1964-02-04,,76.879997,,0.035100,0.029892
1964-02-05,,76.750000,,0.035100,0.029892
1964-02-06,,76.930000,,0.035000,0.029892
1964-02-07,,77.180000,,0.035200,0.029892
1964-02-10,,77.050003,,0.035300,0.029892
1964-02-11,,77.330002,,0.035200,0.029892
1964-02-12,,77.570000,,0.035300,0.029892
1964-02-13,,77.519997,,0.035200,0.029892
1964-02-14,,77.480003,,0.035200,0.029892
1964-02-17,,77.459999,,0.035200,0.029892
1964-02-18,,77.470001,,0.035200,0.029892
1964-02-19,,77.550003,,0.035400,0.029892
1964-02-20,,77.620003,,0.035400,0.029892
1964-02-24,,77.680000,,0.035300,0.029892
1964-02-25,,77.680000,,0.035300,0.029892
1964-02-26,,77.870003,,0.035500,0.029892
1964-02-27,,77.620003,,0.035900,0.029892
1964-02-28,,77.800003,,0.036000,0.029892
1964-03-02,,77.970001,,0.035800,0.029569
1964-03-03,,78.220001,,0.035600,0.029569
1964-03-04,,78.070000,,0.035700,0.029569
1964-03-05,,78.059998,,0.035500,0.029569
1964-03-06,,78.309998,,0.035400,0.029569
1964-03-09,,78.330002,,0.035300,0.029569
1964-03-10,,78.589996,,0.035400,0.029569
1964-03-11,,78.949997,,0.035600,0.029569
1964-03-12,,79.080002,,0.035500,0.029569
1964-03-13,,79.139999,,0.035400,0.029569
1964-03-16,,79.139999,,0.035300,0.029569
1964-03-17,,79.320000,,0.035300,0.029569
1964-03-18,,79.379997,,0.035500,0.029569
1964-03-19,,79.300003,,0.035500,0.029569
1964-03-20,,78.919998,,0.035500,0.029569
1964-03-23,,78.930000,,0.035400,0.029569
1964-03-24,,78.790001,,0.035300,0.029569
1964-03-25,,78.980003,,0.035500,0.029569
1964-03-26,,79.190002,,0.035400,0.029569
1964-03-30,,79.139999,,0.035200,0.029569
1964-03-31,,78.980003,,0.035100,0.029569
1964-04-01,,79.239998,,0.035300,0.029355
1964-04-02,,79.699997,,0.035300,0.029355
1964-04-03,,79.940002,,0.035200,0.029355
1964-04-06,,80.019997,,0.035000,0.029355
1964-04-07,,79.739998,,0.034900,0.029355
1964-04-08,,79.750000,,0.034800,0.029355
1964-04-09,,79.699997,,0.034600,0.029355
1964-04-10,,79.849998,,0.034600,0.029355
1964-04-13,,79.769997,,0.034700,0.029355
1964-04-14,,79.989998,,0.034800,0.029355
1964-04-15,,80.089996,,0.034900,0.029355
1964-04-16,,80.199997,,0.034700,0.029355
1964-04-17,,80.550003,,0.034600,0.029355
1964-04-20,,80.500000,,0.034500,0.029355
1964-04-21,,80.540001,,0.034400,0.029355
1964-04-22,,80.489998,,0.034600,0.029355
1964-04-23,,80.379997,,0.034500,0.029355
1964-04-24,,79.750000,,0.034500,0.029355
1964-04-27,,79.349998,,0.034400,0.029355
1964-04-28,,79.900002,,0.034400,0.029355
1964-04-29,,79.699997,,0.034500,0.029355
1964-04-30,,79.459999,,0.034500,0.029355
1964-05-01,,80.169998,,0.034600,0.029278
1964-05-04,,80.470001,,0.034700,0.029278
1964-05-05,,80.879997,,0.034800,0.029278
1964-05-06,,81.059998,,0.035000,0.029278
1964-05-07,,81.150002,,0.034900,0.029278
1964-05-08,,81.000000,,0.034900,0.029278
1964-05-11,,80.900002,,0.034700,0.029278
1964-05-12,,81.160004,,0.034700,0.029278
